Nome,E-mail,Município,Telefone
MERRILL LYNCH S/A CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS,pedro.asprino@bofa.com,São Paulo,2188-4000
"MIRAE ASSET BRASIL CORRETORA DE C-MBIO, T-TULOS E VALORES MOBILI-RIOS LTDA",hyunjun.yim@miraeinvest.com.br,São Paulo,2789-2000
MORGAN STANLEY CTVM S.A.,elaine.souza@morganstanley.com,São Paulo,3048-6000
MUNDINVEST S/A CCVM,mundinvest@mundinvest.com.br,Belo Horizonte,3071-6565
NEON CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A.,regulatorio@neon.com.br,São Paulo,3123-0883
NOVA FUTURA CTVM LTDA,joaquim@novafutura.com.br,São Paulo,3291-8000
NOVINVEST CORRETORA DE VALORES MOBILIÁRIOS LTDA.,mauricio.leal@novinvest.com.br,São Paulo,3292-2161
NU INVEST CORRETORA DE VALORES S.A.,capital.markets@nubank.com.br,São Paulo,3064-8969
PAGINVEST CORRETORA DE TÍTULOS E VALORES LTDA.,,São Paulo,-
PLANNER CORRETORA DE VALORES S.A.,corporativo@planner.com.br,São Paulo,2172-2600
RJI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA,controladoria@rjicv.com.br,Rio De Janeiro,3500-4500
SAFRA CORRETORA DE VALORES E CÂMBIO LTDA.,atendimento.regulamentar@safra.com.br,São Paulo,3175-8627
SANTANDER CCVM S/A,alexandre.praxedes@santander.com.br,São Paulo,3553-3200
SCOTIABANK BRASIL S.A. CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS,,São Paulo,-
SENSO CORRETORA DE CÂMBIO E VALORES MOBILIÁRIOS S.A,gilvan.mendonca@sensocorretora.com.br,Rio De Janeiro,2505-5000
SIMPAUL CORRETORA DE CÂMBIO E VALORES MOBILIÁRIOS S.A.,controlesinternos@simpaul.com.br,Porto Alegre,3327-9888
SINGULARE CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A.,compliance@singulare.com.br,São Paulo,2827-3500
SITA SOCIEDADE CCVM S.A.,sita@sita.com.br,Belo Horizonte,3303-4887
"SOLIDEZ - CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS LIMITADA",controladoria@solidez.com.br,São Paulo,3115-2366
TORO CORRETORA DE TÍTULOS E VALORES MOBILIARIOS S/A,juridico@toroinvestimentos.com.br,Belo Horizonte,3665-8700
TULLETT PREBON BRASIL CORRETORA DE VALORES E CÂMBIO LTDA,juridico@tullettprebon.com.br,São Paulo,2111-4800
"UBS BRASIL CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS S.A.",daniel.bassan@ubs.com,São Paulo,2050-6500
WARREN CORRETORA DE VALORES MOBILIÁRIOS E CÂMBIO LTDA.,compliance@warren.com.br,Porto Alegre,3237-2273
XP INVESTIMENTOS CCTVM S.A.,lucas.rabechini@xpi.com.br,Rio De Janeiro,3027-2237
